stage,split,recipe_band,depth,aspect_ratio,head_dim,model_dim,seed,num_iterations,target_tokens,total_batch_size,device_batch_size,max_seq_len,warmup_steps,fp8,window_pattern,model_tag,n_index,d_index,planned_family,planned_model_depth,planned_data_tokens,planned_total_batch_size,planned_note,sizing_family,target_n_scaling,preflight_n_scaling,target_n_scaling_rel_error,n_geometric_rel_error,target_budget_b,target_budget_c,target_budget_line_residual,target_d_actual,target_line_index,target_num_iterations_float,verification_role
roihu_target_line_hd64_x30_right11_seed49_50_u10_dep4_md2048_it468_s49,target_line_referee,canonical,4,72,64,2048,49,468,245366784,524288,16,2048,40,1,L,roihu-target-line-hd64-x30-right11-seed49-50-u10-dep4-md2048-it468-s49,10,10,roihu_target_line_measured_oracle,4,245366784,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,268436224,268436224,0.0,,1.305337,44.62403959201215,0.0009300480543927847,245192023.28878802,10,467.6666703964005,target_line_oracle
roihu_target_line_hd64_x30_right11_seed49_50_u0_dep4_md512_it2548_s50,target_line_referee,canonical,4,72,64,512,50,2548,1335885824,524288,16,2048,40,1,L,roihu-target-line-hd64-x30-right11-seed49-50-u0-dep4-md512-it2548-s50,0,0,roihu_target_line_measured_oracle,4,1335885824,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,29360320,29360320,0.0,,1.305337,44.62403959201215,-2.0713440676445316e-05,1335907022.365867,0,2548.040432674154,target_line_oracle
roihu_target_line_hd64_x30_right11_seed49_50_u1_dep4_md640_it1987_s50,target_line_referee,canonical,4,72,64,640,50,1987,1041760256,524288,16,2048,40,1,L,roihu-target-line-hd64-x30-right11-seed49-50-u1-dep4-md640-it1987-s50,1,1,roihu_target_line_measured_oracle,4,1041760256,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,40632560,40632560,0.0,,1.305337,44.62403959201215,0.0002900729865160656,1041528780.9593627,1,1986.5584963977103,target_line_oracle
roihu_target_line_hd64_x30_right11_seed49_50_u2_dep4_md768_it1610_s50,target_line_referee,canonical,4,72,64,768,50,1610,844103680,524288,16,2048,40,1,L,roihu-target-line-hd64-x30-right11-seed49-50-u2-dep4-md768-it1610-s50,2,2,roihu_target_line_measured_oracle,4,844103680,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,53477664,53477664,0.0,,1.305337,44.62403959201215,0.0003522478418034325,843875927.6378952,2,1609.5655968435196,target_line_oracle
roihu_target_line_hd64_x30_right11_seed49_50_u3_dep4_md896_it1341_s50,target_line_referee,canonical,4,72,64,896,50,1341,703070208,524288,16,2048,40,1,L,roihu-target-line-hd64-x30-right11-seed49-50-u3-dep4-md896-it1341-s50,3,3,roihu_target_line_measured_oracle,4,703070208,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,67895632,67895632,0.0,,1.305337,44.62403959201215,0.0004200292018339269,702844011.6145401,3,1340.568564633446,target_line_oracle
roihu_target_line_hd64_x30_right11_seed49_50_u4_dep4_md1024_it1140_s50,target_line_referee,canonical,4,72,64,1024,50,1140,597688320,524288,16,2048,40,1,L,roihu-target-line-hd64-x30-right11-seed49-50-u4-dep4-md1024-it1140-s50,4,4,roihu_target_line_measured_oracle,4,597688320,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,83886464,83886464,0.0,,1.305337,44.62403959201215,-5.761356666766915e-05,597714700.7092005,4,1140.0503172096262,target_line_oracle
roihu_target_line_hd64_x30_right11_seed49_50_u5_dep4_md1152_it986_s50,target_line_referee,canonical,4,72,64,1152,50,986,516947968,524288,16,2048,40,1,L,roihu-target-line-hd64-x30-right11-seed49-50-u5-dep4-md1152-it986-s50,5,5,roihu_target_line_measured_oracle,4,516947968,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,101450160,101450160,0.0,,1.305337,44.62403959201215,0.0006058776832063018,516708080.09350395,5,985.5424501295165,target_line_oracle
roihu_target_line_hd64_x30_right11_seed49_50_u6_dep4_md1280_it863_s50,target_line_referee,canonical,4,72,64,1280,50,863,452460544,524288,16,2048,40,1,L,roihu-target-line-hd64-x30-right11-seed49-50-u6-dep4-md1280-it863-s50,6,6,roihu_target_line_measured_oracle,4,452460544,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,120586720,120586720,0.0,,1.305337,44.62403959201215,-0.0005178769085105728,452640087.9457462,6,863.3424528994487,target_line_oracle
roihu_target_line_hd64_x30_right11_seed49_50_u7_dep4_md1408_it765_s50,target_line_referee,canonical,4,72,64,1408,50,765,401080320,524288,16,2048,40,1,L,roihu-target-line-hd64-x30-right11-seed49-50-u7-dep4-md1408-it765-s50,7,7,roihu_target_line_measured_oracle,4,401080320,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,141296144,141296144,0.0,,1.305337,44.62403959201215,0.0006271304957721213,400887672.9765267,7,764.6325549631628,target_line_oracle
roihu_target_line_hd64_x30_right11_seed49_50_u8_dep4_md1536_it683_s50,target_line_referee,canonical,4,72,64,1536,50,683,358088704,524288,16,2048,40,1,L,roihu-target-line-hd64-x30-right11-seed49-50-u8-dep4-md1536-it683-s50,8,8,roihu_target_line_measured_oracle,4,358088704,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,163578432,163578432,0.0,,1.305337,44.62403959201215,-0.000938668422371336,358346298.35471874,8,683.491322240293,target_line_oracle
roihu_target_line_hd64_x30_right11_seed49_50_u9_dep4_md1792_it559_s50,target_line_referee,canonical,4,72,64,1792,50,559,293076992,524288,16,2048,40,1,L,roihu-target-line-hd64-x30-right11-seed49-50-u9-dep4-md1792-it559-s50,9,9,roihu_target_line_measured_oracle,4,293076992,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,212861600,212861600,0.0,,1.305337,44.62403959201215,0.0008926934352189164,292876631.12295437,9,558.6178419550979,target_line_oracle
roihu_target_line_hd64_x30_right11_seed49_50_u10_dep4_md2048_it468_s50,target_line_referee,canonical,4,72,64,2048,50,468,245366784,524288,16,2048,40,1,L,roihu-target-line-hd64-x30-right11-seed49-50-u10-dep4-md2048-it468-s50,10,10,roihu_target_line_measured_oracle,4,245366784,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,268436224,268436224,0.0,,1.305337,44.62403959201215,0.0009300480543927847,245192023.28878802,10,467.6666703964005,target_line_oracle
