stage,split,recipe_band,depth,aspect_ratio,head_dim,model_dim,seed,train_row_group_start,num_iterations,target_tokens,total_batch_size,device_batch_size,max_seq_len,warmup_steps,fp8,window_pattern,model_tag,n_index,d_index,planned_family,planned_model_depth,planned_data_tokens,planned_total_batch_size,planned_note,sizing_family,target_n_scaling,preflight_n_scaling,target_n_scaling_rel_error,n_geometric_rel_error,source_prefix_order,source_prefix_family,source_prefix_q_hint,target_budget_b,noise_diag_family,noise_diag_source,noise_diag_cell_key,origin_template_stage
roihu_train_noise_hd64_smalln_n2_d0_dep4_md320_it144_s74_rg0,reference,canonical,4,72,64,320,74,0,144,75497472,524288,16,2048,40,1,L,fsl-trainnoise-hd64-n2-d0-s74-rg0-20260626,2,0,roihu_training_seed_data_order_noise_diagnostic,4,75497472,524288,diagnostic wave for Delta finite-difference seed/data-order noise; not target oracle fitting data unless explicitly selected,controlled_model_dim_source_prefix_smalln_5x5,15401080,15401080,0.0,0.162821576719,3.0,5p_to_3x3_to_4x4_to_5x5_nested,5.0,1.305337,train_seed_vs_train_row_group_start,derived_from_evalshards_combined_highd_seed51_62,n2_d0,roihu_support_wave_hd64_smalln_x30_x22p5_req3_n2_d0_dep4_md320_it144_s51
roihu_train_noise_hd64_smalln_n2_d0_dep4_md320_it144_s74_rg16,reference,canonical,4,72,64,320,74,16,144,75497472,524288,16,2048,40,1,L,fsl-trainnoise-hd64-n2-d0-s74-rg16-20260626,2,0,roihu_training_seed_data_order_noise_diagnostic,4,75497472,524288,diagnostic wave for Delta finite-difference seed/data-order noise; not target oracle fitting data unless explicitly selected,controlled_model_dim_source_prefix_smalln_5x5,15401080,15401080,0.0,0.162821576719,3.0,5p_to_3x3_to_4x4_to_5x5_nested,5.0,1.305337,train_seed_vs_train_row_group_start,derived_from_evalshards_combined_highd_seed51_62,n2_d0,roihu_support_wave_hd64_smalln_x30_x22p5_req3_n2_d0_dep4_md320_it144_s51
roihu_train_noise_hd64_smalln_n2_d1_dep4_md320_it216_s73_rg0,reference,canonical,4,72,64,320,73,0,216,113246208,524288,16,2048,40,1,L,fsl-trainnoise-hd64-n2-d1-s73-rg0-20260626,2,1,roihu_training_seed_data_order_noise_diagnostic,4,113246208,524288,diagnostic wave for Delta finite-difference seed/data-order noise; not target oracle fitting data unless explicitly selected,controlled_model_dim_source_prefix_smalln_5x5,15401080,15401080,0.0,0.162821576719,8.0,5p_to_3x3_to_4x4_to_5x5_nested,9.0,1.305337,train_seed_vs_train_row_group_start,derived_from_evalshards_combined_highd_seed51_62,n2_d1,roihu_control_wave_hd64_smalln_x30_x22p5_expanded_seed51_52_20260611_1825_n2_d1_dep4_md320_it216_s51
roihu_train_noise_hd64_smalln_n2_d1_dep4_md320_it216_s73_rg16,reference,canonical,4,72,64,320,73,16,216,113246208,524288,16,2048,40,1,L,fsl-trainnoise-hd64-n2-d1-s73-rg16-20260626,2,1,roihu_training_seed_data_order_noise_diagnostic,4,113246208,524288,diagnostic wave for Delta finite-difference seed/data-order noise; not target oracle fitting data unless explicitly selected,controlled_model_dim_source_prefix_smalln_5x5,15401080,15401080,0.0,0.162821576719,8.0,5p_to_3x3_to_4x4_to_5x5_nested,9.0,1.305337,train_seed_vs_train_row_group_start,derived_from_evalshards_combined_highd_seed51_62,n2_d1,roihu_control_wave_hd64_smalln_x30_x22p5_expanded_seed51_52_20260611_1825_n2_d1_dep4_md320_it216_s51
roihu_train_noise_hd64_smalln_n2_d1_dep4_md320_it216_s74_rg0,reference,canonical,4,72,64,320,74,0,216,113246208,524288,16,2048,40,1,L,fsl-trainnoise-hd64-n2-d1-s74-rg0-20260626,2,1,roihu_training_seed_data_order_noise_diagnostic,4,113246208,524288,diagnostic wave for Delta finite-difference seed/data-order noise; not target oracle fitting data unless explicitly selected,controlled_model_dim_source_prefix_smalln_5x5,15401080,15401080,0.0,0.162821576719,8.0,5p_to_3x3_to_4x4_to_5x5_nested,9.0,1.305337,train_seed_vs_train_row_group_start,derived_from_evalshards_combined_highd_seed51_62,n2_d1,roihu_control_wave_hd64_smalln_x30_x22p5_expanded_seed51_52_20260611_1825_n2_d1_dep4_md320_it216_s51
roihu_train_noise_hd64_smalln_n2_d1_dep4_md320_it216_s74_rg16,reference,canonical,4,72,64,320,74,16,216,113246208,524288,16,2048,40,1,L,fsl-trainnoise-hd64-n2-d1-s74-rg16-20260626,2,1,roihu_training_seed_data_order_noise_diagnostic,4,113246208,524288,diagnostic wave for Delta finite-difference seed/data-order noise; not target oracle fitting data unless explicitly selected,controlled_model_dim_source_prefix_smalln_5x5,15401080,15401080,0.0,0.162821576719,8.0,5p_to_3x3_to_4x4_to_5x5_nested,9.0,1.305337,train_seed_vs_train_row_group_start,derived_from_evalshards_combined_highd_seed51_62,n2_d1,roihu_control_wave_hd64_smalln_x30_x22p5_expanded_seed51_52_20260611_1825_n2_d1_dep4_md320_it216_s51
roihu_train_noise_hd64_smalln_n3_d0_dep4_md512_it144_s73_rg0,reference,canonical,4,72,64,512,73,0,144,75497472,524288,16,2048,40,1,L,fsl-trainnoise-hd64-n3-d0-s73-rg0-20260626,3,0,roihu_training_seed_data_order_noise_diagnostic,4,75497472,524288,diagnostic wave for Delta finite-difference seed/data-order noise; not target oracle fitting data unless explicitly selected,controlled_model_dim_source_prefix_smalln_5x5,29360320,29360320,0.0,0.162821576719,10.0,5p_to_3x3_to_4x4_to_5x5_nested,16.0,1.305337,train_seed_vs_train_row_group_start,derived_from_evalshards_combined_highd_seed51_62,n3_d0,roihu_support_wave_hd64_smalln_x30_x22p5_req3_n3_d0_dep4_md512_it144_s51
roihu_train_noise_hd64_smalln_n3_d0_dep4_md512_it144_s73_rg16,reference,canonical,4,72,64,512,73,16,144,75497472,524288,16,2048,40,1,L,fsl-trainnoise-hd64-n3-d0-s73-rg16-20260626,3,0,roihu_training_seed_data_order_noise_diagnostic,4,75497472,524288,diagnostic wave for Delta finite-difference seed/data-order noise; not target oracle fitting data unless explicitly selected,controlled_model_dim_source_prefix_smalln_5x5,29360320,29360320,0.0,0.162821576719,10.0,5p_to_3x3_to_4x4_to_5x5_nested,16.0,1.305337,train_seed_vs_train_row_group_start,derived_from_evalshards_combined_highd_seed51_62,n3_d0,roihu_support_wave_hd64_smalln_x30_x22p5_req3_n3_d0_dep4_md512_it144_s51
roihu_train_noise_hd64_smalln_n3_d0_dep4_md512_it144_s74_rg0,reference,canonical,4,72,64,512,74,0,144,75497472,524288,16,2048,40,1,L,fsl-trainnoise-hd64-n3-d0-s74-rg0-20260626,3,0,roihu_training_seed_data_order_noise_diagnostic,4,75497472,524288,diagnostic wave for Delta finite-difference seed/data-order noise; not target oracle fitting data unless explicitly selected,controlled_model_dim_source_prefix_smalln_5x5,29360320,29360320,0.0,0.162821576719,10.0,5p_to_3x3_to_4x4_to_5x5_nested,16.0,1.305337,train_seed_vs_train_row_group_start,derived_from_evalshards_combined_highd_seed51_62,n3_d0,roihu_support_wave_hd64_smalln_x30_x22p5_req3_n3_d0_dep4_md512_it144_s51
roihu_train_noise_hd64_smalln_n3_d0_dep4_md512_it144_s74_rg16,reference,canonical,4,72,64,512,74,16,144,75497472,524288,16,2048,40,1,L,fsl-trainnoise-hd64-n3-d0-s74-rg16-20260626,3,0,roihu_training_seed_data_order_noise_diagnostic,4,75497472,524288,diagnostic wave for Delta finite-difference seed/data-order noise; not target oracle fitting data unless explicitly selected,controlled_model_dim_source_prefix_smalln_5x5,29360320,29360320,0.0,0.162821576719,10.0,5p_to_3x3_to_4x4_to_5x5_nested,16.0,1.305337,train_seed_vs_train_row_group_start,derived_from_evalshards_combined_highd_seed51_62,n3_d0,roihu_support_wave_hd64_smalln_x30_x22p5_req3_n3_d0_dep4_md512_it144_s51
roihu_train_noise_hd64_smalln_n3_d1_dep4_md512_it216_s73_rg0,reference,canonical,4,72,64,512,73,0,216,113246208,524288,16,2048,40,1,L,fsl-trainnoise-hd64-n3-d1-s73-rg0-20260626,3,1,roihu_training_seed_data_order_noise_diagnostic,4,113246208,524288,diagnostic wave for Delta finite-difference seed/data-order noise; not target oracle fitting data unless explicitly selected,controlled_model_dim_source_prefix_smalln_5x5,29360320,29360320,0.0,0.162821576719,11.0,5p_to_3x3_to_4x4_to_5x5_nested,16.0,1.305337,train_seed_vs_train_row_group_start,derived_from_evalshards_combined_highd_seed51_62,n3_d1,roihu_control_wave_hd64_smalln_x30_x22p5_expanded_seed51_52_20260611_1825_n3_d1_dep4_md512_it216_s51
roihu_train_noise_hd64_smalln_n3_d1_dep4_md512_it216_s73_rg16,reference,canonical,4,72,64,512,73,16,216,113246208,524288,16,2048,40,1,L,fsl-trainnoise-hd64-n3-d1-s73-rg16-20260626,3,1,roihu_training_seed_data_order_noise_diagnostic,4,113246208,524288,diagnostic wave for Delta finite-difference seed/data-order noise; not target oracle fitting data unless explicitly selected,controlled_model_dim_source_prefix_smalln_5x5,29360320,29360320,0.0,0.162821576719,11.0,5p_to_3x3_to_4x4_to_5x5_nested,16.0,1.305337,train_seed_vs_train_row_group_start,derived_from_evalshards_combined_highd_seed51_62,n3_d1,roihu_control_wave_hd64_smalln_x30_x22p5_expanded_seed51_52_20260611_1825_n3_d1_dep4_md512_it216_s51
roihu_train_noise_hd64_smalln_n3_d1_dep4_md512_it216_s74_rg0,reference,canonical,4,72,64,512,74,0,216,113246208,524288,16,2048,40,1,L,fsl-trainnoise-hd64-n3-d1-s74-rg0-20260626,3,1,roihu_training_seed_data_order_noise_diagnostic,4,113246208,524288,diagnostic wave for Delta finite-difference seed/data-order noise; not target oracle fitting data unless explicitly selected,controlled_model_dim_source_prefix_smalln_5x5,29360320,29360320,0.0,0.162821576719,11.0,5p_to_3x3_to_4x4_to_5x5_nested,16.0,1.305337,train_seed_vs_train_row_group_start,derived_from_evalshards_combined_highd_seed51_62,n3_d1,roihu_control_wave_hd64_smalln_x30_x22p5_expanded_seed51_52_20260611_1825_n3_d1_dep4_md512_it216_s51
roihu_train_noise_hd64_smalln_n3_d1_dep4_md512_it216_s74_rg16,reference,canonical,4,72,64,512,74,16,216,113246208,524288,16,2048,40,1,L,fsl-trainnoise-hd64-n3-d1-s74-rg16-20260626,3,1,roihu_training_seed_data_order_noise_diagnostic,4,113246208,524288,diagnostic wave for Delta finite-difference seed/data-order noise; not target oracle fitting data unless explicitly selected,controlled_model_dim_source_prefix_smalln_5x5,29360320,29360320,0.0,0.162821576719,11.0,5p_to_3x3_to_4x4_to_5x5_nested,16.0,1.305337,train_seed_vs_train_row_group_start,derived_from_evalshards_combined_highd_seed51_62,n3_d1,roihu_control_wave_hd64_smalln_x30_x22p5_expanded_seed51_52_20260611_1825_n3_d1_dep4_md512_it216_s51
roihu_train_noise_hd64_smalln_n4_d0_dep4_md704_it144_s73_rg0,reference,canonical,4,72,64,704,73,0,144,75497472,524288,16,2048,40,1,L,fsl-trainnoise-hd64-n4-d0-s73-rg0-20260626,4,0,roihu_training_seed_data_order_noise_diagnostic,4,75497472,524288,diagnostic wave for Delta finite-difference seed/data-order noise; not target oracle fitting data unless explicitly selected,controlled_model_dim_source_prefix_smalln_5x5,46858504,46858504,0.0,0.162821576719,17.0,5p_to_3x3_to_4x4_to_5x5_nested,25.0,1.305337,train_seed_vs_train_row_group_start,derived_from_evalshards_combined_highd_seed51_62,n4_d0,roihu_support_wave_hd64_smalln_x30_x22p5_req3_n4_d0_dep4_md704_it144_s51
roihu_train_noise_hd64_smalln_n4_d0_dep4_md704_it144_s73_rg16,reference,canonical,4,72,64,704,73,16,144,75497472,524288,16,2048,40,1,L,fsl-trainnoise-hd64-n4-d0-s73-rg16-20260626,4,0,roihu_training_seed_data_order_noise_diagnostic,4,75497472,524288,diagnostic wave for Delta finite-difference seed/data-order noise; not target oracle fitting data unless explicitly selected,controlled_model_dim_source_prefix_smalln_5x5,46858504,46858504,0.0,0.162821576719,17.0,5p_to_3x3_to_4x4_to_5x5_nested,25.0,1.305337,train_seed_vs_train_row_group_start,derived_from_evalshards_combined_highd_seed51_62,n4_d0,roihu_support_wave_hd64_smalln_x30_x22p5_req3_n4_d0_dep4_md704_it144_s51
roihu_train_noise_hd64_smalln_n4_d0_dep4_md704_it144_s74_rg0,reference,canonical,4,72,64,704,74,0,144,75497472,524288,16,2048,40,1,L,fsl-trainnoise-hd64-n4-d0-s74-rg0-20260626,4,0,roihu_training_seed_data_order_noise_diagnostic,4,75497472,524288,diagnostic wave for Delta finite-difference seed/data-order noise; not target oracle fitting data unless explicitly selected,controlled_model_dim_source_prefix_smalln_5x5,46858504,46858504,0.0,0.162821576719,17.0,5p_to_3x3_to_4x4_to_5x5_nested,25.0,1.305337,train_seed_vs_train_row_group_start,derived_from_evalshards_combined_highd_seed51_62,n4_d0,roihu_support_wave_hd64_smalln_x30_x22p5_req3_n4_d0_dep4_md704_it144_s51
roihu_train_noise_hd64_smalln_n4_d0_dep4_md704_it144_s74_rg16,reference,canonical,4,72,64,704,74,16,144,75497472,524288,16,2048,40,1,L,fsl-trainnoise-hd64-n4-d0-s74-rg16-20260626,4,0,roihu_training_seed_data_order_noise_diagnostic,4,75497472,524288,diagnostic wave for Delta finite-difference seed/data-order noise; not target oracle fitting data unless explicitly selected,controlled_model_dim_source_prefix_smalln_5x5,46858504,46858504,0.0,0.162821576719,17.0,5p_to_3x3_to_4x4_to_5x5_nested,25.0,1.305337,train_seed_vs_train_row_group_start,derived_from_evalshards_combined_highd_seed51_62,n4_d0,roihu_support_wave_hd64_smalln_x30_x22p5_req3_n4_d0_dep4_md704_it144_s51
roihu_train_noise_hd64_smalln_n4_d1_dep4_md704_it216_s73_rg0,reference,canonical,4,72,64,704,73,0,216,113246208,524288,16,2048,40,1,L,fsl-trainnoise-hd64-n4-d1-s73-rg0-20260626,4,1,roihu_training_seed_data_order_noise_diagnostic,4,113246208,524288,diagnostic wave for Delta finite-difference seed/data-order noise; not target oracle fitting data unless explicitly selected,controlled_model_dim_source_prefix_smalln_5x5,46858504,46858504,0.0,0.162821576719,18.0,5p_to_3x3_to_4x4_to_5x5_nested,25.0,1.305337,train_seed_vs_train_row_group_start,derived_from_evalshards_combined_highd_seed51_62,n4_d1,roihu_control_wave_hd64_smalln_x30_x22p5_expanded_seed51_52_20260611_1825_n4_d1_dep4_md704_it216_s51
roihu_train_noise_hd64_smalln_n4_d1_dep4_md704_it216_s73_rg16,reference,canonical,4,72,64,704,73,16,216,113246208,524288,16,2048,40,1,L,fsl-trainnoise-hd64-n4-d1-s73-rg16-20260626,4,1,roihu_training_seed_data_order_noise_diagnostic,4,113246208,524288,diagnostic wave for Delta finite-difference seed/data-order noise; not target oracle fitting data unless explicitly selected,controlled_model_dim_source_prefix_smalln_5x5,46858504,46858504,0.0,0.162821576719,18.0,5p_to_3x3_to_4x4_to_5x5_nested,25.0,1.305337,train_seed_vs_train_row_group_start,derived_from_evalshards_combined_highd_seed51_62,n4_d1,roihu_control_wave_hd64_smalln_x30_x22p5_expanded_seed51_52_20260611_1825_n4_d1_dep4_md704_it216_s51
roihu_train_noise_hd64_smalln_n4_d1_dep4_md704_it216_s74_rg0,reference,canonical,4,72,64,704,74,0,216,113246208,524288,16,2048,40,1,L,fsl-trainnoise-hd64-n4-d1-s74-rg0-20260626,4,1,roihu_training_seed_data_order_noise_diagnostic,4,113246208,524288,diagnostic wave for Delta finite-difference seed/data-order noise; not target oracle fitting data unless explicitly selected,controlled_model_dim_source_prefix_smalln_5x5,46858504,46858504,0.0,0.162821576719,18.0,5p_to_3x3_to_4x4_to_5x5_nested,25.0,1.305337,train_seed_vs_train_row_group_start,derived_from_evalshards_combined_highd_seed51_62,n4_d1,roihu_control_wave_hd64_smalln_x30_x22p5_expanded_seed51_52_20260611_1825_n4_d1_dep4_md704_it216_s51
roihu_train_noise_hd64_smalln_n4_d1_dep4_md704_it216_s74_rg16,reference,canonical,4,72,64,704,74,16,216,113246208,524288,16,2048,40,1,L,fsl-trainnoise-hd64-n4-d1-s74-rg16-20260626,4,1,roihu_training_seed_data_order_noise_diagnostic,4,113246208,524288,diagnostic wave for Delta finite-difference seed/data-order noise; not target oracle fitting data unless explicitly selected,controlled_model_dim_source_prefix_smalln_5x5,46858504,46858504,0.0,0.162821576719,18.0,5p_to_3x3_to_4x4_to_5x5_nested,25.0,1.305337,train_seed_vs_train_row_group_start,derived_from_evalshards_combined_highd_seed51_62,n4_d1,roihu_control_wave_hd64_smalln_x30_x22p5_expanded_seed51_52_20260611_1825_n4_d1_dep4_md704_it216_s51
