stage,split,recipe_band,depth,aspect_ratio,head_dim,model_dim,seed,num_iterations,target_tokens,total_batch_size,device_batch_size,max_seq_len,warmup_steps,fp8,window_pattern,model_tag,n_index,d_index,planned_family,planned_model_depth,planned_data_tokens,planned_total_batch_size,planned_note,sizing_family,target_n_scaling,preflight_n_scaling,target_n_scaling_rel_error,n_geometric_rel_error,target_budget_b,target_budget_c,target_budget_line_residual,target_d_actual,target_line_index,target_num_iterations_float,verification_role
fsl_support_readout_factorial_x100_target_s131_132_20260713_u10_dep4_md2176_it1084_s131,target_line_referee,canonical,4,72,64,2176,131,1084,568328192,524288,16,2048,40,1,L,fsl-support-readout-factorial-x100-target-s131-132-20260713-u10-dep4-md2176-it1084-s131,10,10,roihu_target_line_measured_oracle,4,568328192,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,298582832,298582832,0.0,,1.305337,45.82801239633809,-0.0001975887654097619,568414226.3078432,10,1084.1640974194397,target_line_oracle
fsl_support_readout_factorial_x100_target_s131_132_20260713_u0_dep4_md896_it3372_s132,target_line_referee,canonical,4,72,64,896,132,3372,1767899136,524288,16,2048,40,1,L,fsl-support-readout-factorial-x100-target-s131-132-20260713-u0-dep4-md896-it3372-s132,0,0,roihu_target_line_measured_oracle,4,1767899136,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,67895632,67895632,0.0,,1.305337,45.82801239633809,8.59881240629079e-05,1767782680.7679052,0,3371.77787927228,target_line_oracle
fsl_support_readout_factorial_x100_target_s131_132_20260713_u1_dep4_md1024_it2867_s132,target_line_referee,canonical,4,72,64,1024,132,2867,1503133696,524288,16,2048,40,1,L,fsl-support-readout-factorial-x100-target-s131-132-20260713-u1-dep4-md1024-it2867-s132,1,1,roihu_target_line_measured_oracle,4,1503133696,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,83886464,83886464,0.0,,1.305337,45.82801239633809,-0.00019913224628709258,1503363020.0915515,1,2867.437400992492,target_line_oracle
fsl_support_readout_factorial_x100_target_s131_132_20260713_u2_dep4_md1152_it2479_s132,target_line_referee,canonical,4,72,64,1152,132,2479,1299709952,524288,16,2048,40,1,L,fsl-support-readout-factorial-x100-target-s131-132-20260713-u2-dep4-md1152-it2479-s132,2,2,roihu_target_line_measured_oracle,4,1299709952,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,101450160,101450160,0.0,,1.305337,45.82801239633809,9.397346455131128e-05,1299616387.0043497,2,2478.8215389334673,target_line_oracle
fsl_support_readout_factorial_x100_target_s131_132_20260713_u3_dep4_md1280_it2171_s132,target_line_referee,canonical,4,72,64,1280,132,2171,1138229248,524288,16,2048,40,1,L,fsl-support-readout-factorial-x100-target-s131-132-20260713-u3-dep4-md1280-it2171-s132,3,3,roihu_target_line_measured_oracle,4,1138229248,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,120586720,120586720,0.0,,1.305337,45.82801239633809,-0.00028012430979629244,1138473537.3267822,3,2171.4659449134488,target_line_oracle
fsl_support_readout_factorial_x100_target_s131_132_20260713_u4_dep4_md1408_it1923_s132,target_line_referee,canonical,4,72,64,1408,132,1923,1008205824,524288,16,2048,40,1,L,fsl-support-readout-factorial-x100-target-s131-132-20260713-u4-dep4-md1408-it1923-s132,4,4,roihu_target_line_measured_oracle,4,1008205824,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,141296144,141296144,0.0,,1.305337,45.82801239633809,-0.00013052386817236084,1008306642.0290046,4,1923.1922951297847,target_line_oracle
fsl_support_readout_factorial_x100_target_s131_132_20260713_u5_dep4_md1536_it1719_s132,target_line_referee,canonical,4,72,64,1536,132,1719,901251072,524288,16,2048,40,1,L,fsl-support-readout-factorial-x100-target-s131-132-20260713-u5-dep4-md1536-it1719-s132,5,5,roihu_target_line_measured_oracle,4,901251072,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,163578432,163578432,0.0,,1.305337,45.82801239633809,-8.131540342759536e-05,901307216.7941839,5,1719.107087696426,target_line_oracle
fsl_support_readout_factorial_x100_target_s131_132_20260713_u6_dep4_md1664_it1549_s132,target_line_referee,canonical,4,72,64,1664,132,1549,812122112,524288,16,2048,40,1,L,fsl-support-readout-factorial-x100-target-s131-132-20260713-u6-dep4-md1664-it1549-s132,6,6,roihu_target_line_measured_oracle,4,812122112,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,187433584,187433584,0.0,,1.305337,45.82801239633809,0.00012179369593923184,812046340.9621125,6,1548.8554782144786,target_line_oracle
fsl_support_readout_factorial_x100_target_s131_132_20260713_u7_dep4_md1792_it1405_s132,target_line_referee,canonical,4,72,64,1792,132,1405,736624640,524288,16,2048,40,1,L,fsl-support-readout-factorial-x100-target-s131-132-20260713-u7-dep4-md1792-it1405-s132,7,7,roihu_target_line_measured_oracle,4,736624640,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,212861600,212861600,0.0,,1.305337,45.82801239633809,-2.5260423477391214e-05,736638895.0394214,7,1405.0271893299512,target_line_oracle
fsl_support_readout_factorial_x100_target_s131_132_20260713_u8_dep4_md1920_it1282_s132,target_line_referee,canonical,4,72,64,1920,132,1282,672137216,524288,16,2048,40,1,L,fsl-support-readout-factorial-x100-target-s131-132-20260713-u8-dep4-md1920-it1282-s132,8,8,roihu_target_line_measured_oracle,4,672137216,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,239862480,239862480,0.0,,1.305337,45.82801239633809,-0.00019137243905475998,672235763.7067115,8,1282.187964833663,target_line_oracle
fsl_support_readout_factorial_x100_target_s131_132_20260713_u9_dep4_md2048_it1176_s132,target_line_referee,canonical,4,72,64,2048,132,1176,616562688,524288,16,2048,40,1,L,fsl-support-readout-factorial-x100-target-s131-132-20260713-u9-dep4-md2048-it1176-s132,9,9,roihu_target_line_measured_oracle,4,616562688,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,268436224,268436224,0.0,,1.305337,45.82801239633809,-0.0002976310400697457,616703287.0304581,9,1176.268171368519,target_line_oracle
fsl_support_readout_factorial_x100_target_s131_132_20260713_u10_dep4_md2176_it1084_s132,target_line_referee,canonical,4,72,64,2176,132,1084,568328192,524288,16,2048,40,1,L,fsl-support-readout-factorial-x100-target-s131-132-20260713-u10-dep4-md2176-it1084-s132,10,10,roihu_target_line_measured_oracle,4,568328192,524288,Held-out measured target-budget-line referee row; not used for estimator fitting unless explicitly charged as overhead.,controlled_model_dim_target_line,298582832,298582832,0.0,,1.305337,45.82801239633809,-0.0001975887654097619,568414226.3078432,10,1084.1640974194397,target_line_oracle
