stage,split,recipe_band,depth,aspect_ratio,head_dim,model_dim,seed,num_iterations,target_tokens,total_batch_size,device_batch_size,max_seq_len,warmup_steps,fp8,window_pattern,model_tag,n_index,d_index,planned_family,planned_model_depth,planned_data_tokens,planned_total_batch_size,planned_note,sizing_family,target_n_scaling,preflight_n_scaling,target_n_scaling_rel_error,n_geometric_rel_error,target_budget_b,target_budget_c,target_budget_line_residual,target_d_actual,target_line_index,target_num_iterations_float,verification_role
roihu_target_line_hd64_x30_keyidx_seed65_68_20260625_u1_dep4_md640_it1987_s67,target_line_referee,canonical,4,72,64,640,67,1987,1041760256,524288,16,2048,40,1,L,roihu-target-line-hd64-x30-keyidx-seed65-68-20260625-u1-dep4-md640-it1987-s67,1,1,roihu_target_line_seed_expansion_referee,4,1041760256,524288,Held-out target-line seed expansion for x30 index 1; used only to estimate referee uncertainty unless explicitly charged as overhead.,controlled_model_dim_target_line,40632560,40632560,0.0,,1.305337,44.62403959201215,0.0002900729865160656,1041528780.9593627,1,1986.5584963977103,target_line_oracle
roihu_target_line_hd64_x30_keyidx_seed65_68_20260625_u2_dep4_md768_it1610_s67,target_line_referee,canonical,4,72,64,768,67,1610,844103680,524288,16,2048,40,1,L,roihu-target-line-hd64-x30-keyidx-seed65-68-20260625-u2-dep4-md768-it1610-s67,2,2,roihu_target_line_seed_expansion_referee,4,844103680,524288,Held-out target-line seed expansion for x30 index 2; used only to estimate referee uncertainty unless explicitly charged as overhead.,controlled_model_dim_target_line,53477664,53477664,0.0,,1.305337,44.62403959201215,0.0003522478418034325,843875927.6378952,2,1609.5655968435196,target_line_oracle
roihu_target_line_hd64_x30_keyidx_seed65_68_20260625_u3_dep4_md896_it1341_s67,target_line_referee,canonical,4,72,64,896,67,1341,703070208,524288,16,2048,40,1,L,roihu-target-line-hd64-x30-keyidx-seed65-68-20260625-u3-dep4-md896-it1341-s67,3,3,roihu_target_line_seed_expansion_referee,4,703070208,524288,Held-out target-line seed expansion for x30 index 3; used only to estimate referee uncertainty unless explicitly charged as overhead.,controlled_model_dim_target_line,67895632,67895632,0.0,,1.305337,44.62403959201215,0.0004200292018339269,702844011.6145401,3,1340.568564633446,target_line_oracle
roihu_target_line_hd64_x30_keyidx_seed65_68_20260625_u4_dep4_md1024_it1140_s67,target_line_referee,canonical,4,72,64,1024,67,1140,597688320,524288,16,2048,40,1,L,roihu-target-line-hd64-x30-keyidx-seed65-68-20260625-u4-dep4-md1024-it1140-s67,4,4,roihu_target_line_seed_expansion_referee,4,597688320,524288,Held-out target-line seed expansion for x30 index 4; used only to estimate referee uncertainty unless explicitly charged as overhead.,controlled_model_dim_target_line,83886464,83886464,0.0,,1.305337,44.62403959201215,-5.761356666766915e-05,597714700.7092005,4,1140.0503172096262,target_line_oracle
roihu_target_line_hd64_x30_keyidx_seed65_68_20260625_u5_dep4_md1152_it986_s67,target_line_referee,canonical,4,72,64,1152,67,986,516947968,524288,16,2048,40,1,L,roihu-target-line-hd64-x30-keyidx-seed65-68-20260625-u5-dep4-md1152-it986-s67,5,5,roihu_target_line_seed_expansion_referee,4,516947968,524288,Held-out target-line seed expansion for x30 index 5; used only to estimate referee uncertainty unless explicitly charged as overhead.,controlled_model_dim_target_line,101450160,101450160,0.0,,1.305337,44.62403959201215,0.0006058776832063018,516708080.09350395,5,985.5424501295165,target_line_oracle
roihu_target_line_hd64_x30_keyidx_seed65_68_20260625_u1_dep4_md640_it1987_s68,target_line_referee,canonical,4,72,64,640,68,1987,1041760256,524288,16,2048,40,1,L,roihu-target-line-hd64-x30-keyidx-seed65-68-20260625-u1-dep4-md640-it1987-s68,1,1,roihu_target_line_seed_expansion_referee,4,1041760256,524288,Held-out target-line seed expansion for x30 index 1; used only to estimate referee uncertainty unless explicitly charged as overhead.,controlled_model_dim_target_line,40632560,40632560,0.0,,1.305337,44.62403959201215,0.0002900729865160656,1041528780.9593627,1,1986.5584963977103,target_line_oracle
roihu_target_line_hd64_x30_keyidx_seed65_68_20260625_u2_dep4_md768_it1610_s68,target_line_referee,canonical,4,72,64,768,68,1610,844103680,524288,16,2048,40,1,L,roihu-target-line-hd64-x30-keyidx-seed65-68-20260625-u2-dep4-md768-it1610-s68,2,2,roihu_target_line_seed_expansion_referee,4,844103680,524288,Held-out target-line seed expansion for x30 index 2; used only to estimate referee uncertainty unless explicitly charged as overhead.,controlled_model_dim_target_line,53477664,53477664,0.0,,1.305337,44.62403959201215,0.0003522478418034325,843875927.6378952,2,1609.5655968435196,target_line_oracle
roihu_target_line_hd64_x30_keyidx_seed65_68_20260625_u3_dep4_md896_it1341_s68,target_line_referee,canonical,4,72,64,896,68,1341,703070208,524288,16,2048,40,1,L,roihu-target-line-hd64-x30-keyidx-seed65-68-20260625-u3-dep4-md896-it1341-s68,3,3,roihu_target_line_seed_expansion_referee,4,703070208,524288,Held-out target-line seed expansion for x30 index 3; used only to estimate referee uncertainty unless explicitly charged as overhead.,controlled_model_dim_target_line,67895632,67895632,0.0,,1.305337,44.62403959201215,0.0004200292018339269,702844011.6145401,3,1340.568564633446,target_line_oracle
roihu_target_line_hd64_x30_keyidx_seed65_68_20260625_u4_dep4_md1024_it1140_s68,target_line_referee,canonical,4,72,64,1024,68,1140,597688320,524288,16,2048,40,1,L,roihu-target-line-hd64-x30-keyidx-seed65-68-20260625-u4-dep4-md1024-it1140-s68,4,4,roihu_target_line_seed_expansion_referee,4,597688320,524288,Held-out target-line seed expansion for x30 index 4; used only to estimate referee uncertainty unless explicitly charged as overhead.,controlled_model_dim_target_line,83886464,83886464,0.0,,1.305337,44.62403959201215,-5.761356666766915e-05,597714700.7092005,4,1140.0503172096262,target_line_oracle
roihu_target_line_hd64_x30_keyidx_seed65_68_20260625_u5_dep4_md1152_it986_s68,target_line_referee,canonical,4,72,64,1152,68,986,516947968,524288,16,2048,40,1,L,roihu-target-line-hd64-x30-keyidx-seed65-68-20260625-u5-dep4-md1152-it986-s68,5,5,roihu_target_line_seed_expansion_referee,4,516947968,524288,Held-out target-line seed expansion for x30 index 5; used only to estimate referee uncertainty unless explicitly charged as overhead.,controlled_model_dim_target_line,101450160,101450160,0.0,,1.305337,44.62403959201215,0.0006058776832063018,516708080.09350395,5,985.5424501295165,target_line_oracle
roihu_target_line_hd64_x22p5_keyidx_seed65_68_20260625_u1_dep4_md640_it1594_s65,target_line_referee,canonical,4,72,64,640,65,1594,835715072,524288,16,2048,40,1,L,roihu-target-line-hd64-x22p5-keyidx-seed65-68-20260625-u1-dep4-md640-it1594-s65,1,1,roihu_target_line_seed_expansion_referee,4,835715072,524288,Held-out target-line seed expansion for x22p5 index 1; used only to estimate referee uncertainty unless explicitly charged as overhead.,controlled_model_dim_target_line,40632560,40632560,0.0,,1.305337,44.33632251844361,0.0003377836247580035,835498840.984512,1,1593.5875720682373,target_line_oracle
roihu_target_line_hd64_x22p5_keyidx_seed65_68_20260625_u2_dep4_md768_it1291_s65,target_line_referee,canonical,4,72,64,768,65,1291,676855808,524288,16,2048,40,1,L,roihu-target-line-hd64-x22p5-keyidx-seed65-68-20260625-u2-dep4-md768-it1291-s65,2,2,roihu_target_line_seed_expansion_referee,4,676855808,524288,Held-out target-line seed expansion for x22p5 index 2; used only to estimate referee uncertainty unless explicitly charged as overhead.,controlled_model_dim_target_line,53477664,53477664,0.0,,1.305337,44.33632251844361,-0.00017136654835780973,676944672.4523116,2,1291.1694954916222,target_line_oracle
roihu_target_line_hd64_x22p5_keyidx_seed65_68_20260625_u3_dep4_md896_it1075_s65,target_line_referee,canonical,4,72,64,896,65,1075,563609600,524288,16,2048,40,1,L,roihu-target-line-hd64-x22p5-keyidx-seed65-68-20260625-u3-dep4-md896-it1075-s65,3,3,roihu_target_line_seed_expansion_referee,4,563609600,524288,Held-out target-line seed expansion for x22p5 index 3; used only to estimate referee uncertainty unless explicitly charged as overhead.,controlled_model_dim_target_line,67895632,67895632,0.0,,1.305337,44.33632251844361,-0.0004663064748058332,563810974.6290005,3,1075.3840916233073,target_line_oracle
roihu_target_line_hd64_x22p5_keyidx_seed65_68_20260625_u8_dep4_md1536_it548_s65,target_line_referee,canonical,4,72,64,1536,65,548,287309824,524288,16,2048,40,1,L,roihu-target-line-hd64-x22p5-keyidx-seed65-68-20260625-u8-dep4-md1536-it548-s65,8,8,roihu_target_line_seed_expansion_referee,4,287309824,524288,Held-out target-line seed expansion for x22p5 index 8; used only to estimate referee uncertainty unless explicitly charged as overhead.,controlled_model_dim_target_line,163578432,163578432,0.0,,1.305337,44.33632251844361,-0.0006823511225206857,287460051.4358136,8,548.28653609431,target_line_oracle
roihu_target_line_hd64_x22p5_keyidx_seed65_68_20260625_u1_dep4_md640_it1594_s66,target_line_referee,canonical,4,72,64,640,66,1594,835715072,524288,16,2048,40,1,L,roihu-target-line-hd64-x22p5-keyidx-seed65-68-20260625-u1-dep4-md640-it1594-s66,1,1,roihu_target_line_seed_expansion_referee,4,835715072,524288,Held-out target-line seed expansion for x22p5 index 1; used only to estimate referee uncertainty unless explicitly charged as overhead.,controlled_model_dim_target_line,40632560,40632560,0.0,,1.305337,44.33632251844361,0.0003377836247580035,835498840.984512,1,1593.5875720682373,target_line_oracle
roihu_target_line_hd64_x22p5_keyidx_seed65_68_20260625_u2_dep4_md768_it1291_s66,target_line_referee,canonical,4,72,64,768,66,1291,676855808,524288,16,2048,40,1,L,roihu-target-line-hd64-x22p5-keyidx-seed65-68-20260625-u2-dep4-md768-it1291-s66,2,2,roihu_target_line_seed_expansion_referee,4,676855808,524288,Held-out target-line seed expansion for x22p5 index 2; used only to estimate referee uncertainty unless explicitly charged as overhead.,controlled_model_dim_target_line,53477664,53477664,0.0,,1.305337,44.33632251844361,-0.00017136654835780973,676944672.4523116,2,1291.1694954916222,target_line_oracle
roihu_target_line_hd64_x22p5_keyidx_seed65_68_20260625_u3_dep4_md896_it1075_s66,target_line_referee,canonical,4,72,64,896,66,1075,563609600,524288,16,2048,40,1,L,roihu-target-line-hd64-x22p5-keyidx-seed65-68-20260625-u3-dep4-md896-it1075-s66,3,3,roihu_target_line_seed_expansion_referee,4,563609600,524288,Held-out target-line seed expansion for x22p5 index 3; used only to estimate referee uncertainty unless explicitly charged as overhead.,controlled_model_dim_target_line,67895632,67895632,0.0,,1.305337,44.33632251844361,-0.0004663064748058332,563810974.6290005,3,1075.3840916233073,target_line_oracle
roihu_target_line_hd64_x22p5_keyidx_seed65_68_20260625_u8_dep4_md1536_it548_s66,target_line_referee,canonical,4,72,64,1536,66,548,287309824,524288,16,2048,40,1,L,roihu-target-line-hd64-x22p5-keyidx-seed65-68-20260625-u8-dep4-md1536-it548-s66,8,8,roihu_target_line_seed_expansion_referee,4,287309824,524288,Held-out target-line seed expansion for x22p5 index 8; used only to estimate referee uncertainty unless explicitly charged as overhead.,controlled_model_dim_target_line,163578432,163578432,0.0,,1.305337,44.33632251844361,-0.0006823511225206857,287460051.4358136,8,548.28653609431,target_line_oracle
roihu_target_line_hd64_x22p5_keyidx_seed65_68_20260625_u1_dep4_md640_it1594_s67,target_line_referee,canonical,4,72,64,640,67,1594,835715072,524288,16,2048,40,1,L,roihu-target-line-hd64-x22p5-keyidx-seed65-68-20260625-u1-dep4-md640-it1594-s67,1,1,roihu_target_line_seed_expansion_referee,4,835715072,524288,Held-out target-line seed expansion for x22p5 index 1; used only to estimate referee uncertainty unless explicitly charged as overhead.,controlled_model_dim_target_line,40632560,40632560,0.0,,1.305337,44.33632251844361,0.0003377836247580035,835498840.984512,1,1593.5875720682373,target_line_oracle
roihu_target_line_hd64_x22p5_keyidx_seed65_68_20260625_u2_dep4_md768_it1291_s67,target_line_referee,canonical,4,72,64,768,67,1291,676855808,524288,16,2048,40,1,L,roihu-target-line-hd64-x22p5-keyidx-seed65-68-20260625-u2-dep4-md768-it1291-s67,2,2,roihu_target_line_seed_expansion_referee,4,676855808,524288,Held-out target-line seed expansion for x22p5 index 2; used only to estimate referee uncertainty unless explicitly charged as overhead.,controlled_model_dim_target_line,53477664,53477664,0.0,,1.305337,44.33632251844361,-0.00017136654835780973,676944672.4523116,2,1291.1694954916222,target_line_oracle
roihu_target_line_hd64_x22p5_keyidx_seed65_68_20260625_u3_dep4_md896_it1075_s67,target_line_referee,canonical,4,72,64,896,67,1075,563609600,524288,16,2048,40,1,L,roihu-target-line-hd64-x22p5-keyidx-seed65-68-20260625-u3-dep4-md896-it1075-s67,3,3,roihu_target_line_seed_expansion_referee,4,563609600,524288,Held-out target-line seed expansion for x22p5 index 3; used only to estimate referee uncertainty unless explicitly charged as overhead.,controlled_model_dim_target_line,67895632,67895632,0.0,,1.305337,44.33632251844361,-0.0004663064748058332,563810974.6290005,3,1075.3840916233073,target_line_oracle
roihu_target_line_hd64_x22p5_keyidx_seed65_68_20260625_u8_dep4_md1536_it548_s67,target_line_referee,canonical,4,72,64,1536,67,548,287309824,524288,16,2048,40,1,L,roihu-target-line-hd64-x22p5-keyidx-seed65-68-20260625-u8-dep4-md1536-it548-s67,8,8,roihu_target_line_seed_expansion_referee,4,287309824,524288,Held-out target-line seed expansion for x22p5 index 8; used only to estimate referee uncertainty unless explicitly charged as overhead.,controlled_model_dim_target_line,163578432,163578432,0.0,,1.305337,44.33632251844361,-0.0006823511225206857,287460051.4358136,8,548.28653609431,target_line_oracle
