stage,split,recipe_band,depth,aspect_ratio,head_dim,model_dim,seed,num_iterations,target_tokens,total_batch_size,device_batch_size,max_seq_len,warmup_steps,fp8,window_pattern,model_tag,n_index,d_index,planned_family,planned_model_depth,planned_data_tokens,planned_total_batch_size,planned_note,sizing_family,target_n_scaling,preflight_n_scaling,target_n_scaling_rel_error,n_geometric_rel_error,target_budget_b,target_budget_c,target_budget_line_residual,target_d_actual,target_line_index,target_num_iterations_float,verification_role,train_row_group_start,paired_stream_block,muon_momentum_warmup_steps,weight_decay_horizon_tokens,weight_decay_horizon_source,optimizer_schedule_arm,optimizer_schedule_role,schedule_reference_target_index,schedule_reference_iterations,lr_warmup_ratio,muon_momentum_warmup_ratio,warmdown_ratio,final_lr_fraction
fsl_x225_schedule_a11_target_s425_430_20260716_1136_retry1_u10_dep4-md2432-it1735-s425,target_line_referee,canonical,4,72,64,2432,425,1735,909639680,524288,16,2048,27,1,L,fsl-x225-schedule-a11-target-s425-430-20260716-1136-retry1-u10-dep4-md2432-it1735-s425,10,10,roihu_target_line_measured_oracle_x225,4,909639680,524288,"Held-out sealed x225 target-budget-line referee row; not used for estimator fitting, support selection, routing, aggregation, or calibration.",controlled_model_dim_target_line,363594640,363594640,0.0,,1.305337,46.63894261255441,-0.00017095390416699274,909758819.0714436,10,1735.2272397450324,target_line_oracle,48,1,265,909639680,actual_training_tokens,A11_self_similar,target_referee,5,2615,0.015296367112810707,0.15296367112810708,0.65,0.05
fsl_x225_schedule_a11_target_s425_430_20260716_1136_retry1_u0_dep4-md1152-it4614-s426,target_line_referee,canonical,4,72,64,1152,426,4614,2419064832,524288,16,2048,71,1,L,fsl-x225-schedule-a11-target-s425-430-20260716-1136-retry1-u0-dep4-md1152-it4614-s426,0,0,roihu_target_line_measured_oracle_x225,4,2419064832,524288,"Held-out sealed x225 target-budget-line referee row; not used for estimator fitting, support selection, routing, aggregation, or calibration.",controlled_model_dim_target_line,101450160,101450160,0.0,,1.305337,46.63894261255441,9.1193338342066e-05,2418895837.409323,0,4613.67766839852,target_line_oracle,52,2,706,2419064832,actual_training_tokens,A11_self_similar,target_referee,5,2615,0.015296367112810707,0.15296367112810708,0.65,0.05
fsl_x225_schedule_a11_target_s425_430_20260716_1136_retry1_u1_dep4-md1280-it4042-s426,target_line_referee,canonical,4,72,64,1280,426,4042,2119172096,524288,16,2048,62,1,L,fsl-x225-schedule-a11-target-s425-430-20260716-1136-retry1-u1-dep4-md1280-it4042-s426,1,1,roihu_target_line_measured_oracle_x225,4,2119172096,524288,"Held-out sealed x225 target-budget-line referee row; not used for estimator fitting, support selection, routing, aggregation, or calibration.",controlled_model_dim_target_line,120586720,120586720,0.0,,1.305337,46.63894261255441,0.0001241275575267764,2118970588.535072,1,4041.6156550122682,target_line_oracle,52,2,618,2119172096,actual_training_tokens,A11_self_similar,target_referee,5,2615,0.015296367112810707,0.15296367112810708,0.65,0.05
fsl_x225_schedule_a11_target_s425_430_20260716_1136_retry1_u2_dep4-md1408-it3580-s426,target_line_referee,canonical,4,72,64,1408,426,3580,1876951040,524288,16,2048,55,1,L,fsl-x225-schedule-a11-target-s425-430-20260716-1136-retry1-u2-dep4-md1408-it3580-s426,2,2,roihu_target_line_measured_oracle_x225,4,1876951040,524288,"Held-out sealed x225 target-budget-line referee row; not used for estimator fitting, support selection, routing, aggregation, or calibration.",controlled_model_dim_target_line,141296144,141296144,0.0,,1.305337,46.63894261255441,0.00017531305679341358,1876698973.3471074,2,3579.5192210142277,target_line_oracle,52,2,548,1876951040,actual_training_tokens,A11_self_similar,target_referee,5,2615,0.015296367112810707,0.15296367112810708,0.65,0.05
fsl_x225_schedule_a11_target_s425_430_20260716_1136_retry1_u3_dep4-md1536-it3200-s426,target_line_referee,canonical,4,72,64,1536,426,3200,1677721600,524288,16,2048,49,1,L,fsl-x225-schedule-a11-target-s425-430-20260716-1136-retry1-u3-dep4-md1536-it3200-s426,3,3,roihu_target_line_measured_oracle_x225,4,1677721600,524288,"Held-out sealed x225 target-budget-line referee row; not used for estimator fitting, support selection, routing, aggregation, or calibration.",controlled_model_dim_target_line,163578432,163578432,0.0,,1.305337,46.63894261255441,0.00013543174784302892,1677547541.5139904,3,3199.66800978468,target_line_oracle,52,2,489,1677721600,actual_training_tokens,A11_self_similar,target_referee,5,2615,0.015296367112810707,0.15296367112810708,0.65,0.05
fsl_x225_schedule_a11_target_s425_430_20260716_1136_retry1_u4_dep4-md1664-it2883-s426,target_line_referee,canonical,4,72,64,1664,426,2883,1511522304,524288,16,2048,44,1,L,fsl-x225-schedule-a11-target-s425-430-20260716-1136-retry1-u4-dep4-md1664-it2883-s426,4,4,roihu_target_line_measured_oracle_x225,4,1511522304,524288,"Held-out sealed x225 target-budget-line referee row; not used for estimator fitting, support selection, routing, aggregation, or calibration.",controlled_model_dim_target_line,187433584,187433584,0.0,,1.305337,46.63894261255441,9.545291960222357e-05,1511411777.7972884,4,2882.789187998368,target_line_oracle,52,2,441,1511522304,actual_training_tokens,A11_self_similar,target_referee,5,2615,0.015296367112810707,0.15296367112810708,0.65,0.05
fsl_x225_schedule_a11_target_s425_430_20260716_1136_retry1_u5_dep4-md1792-it2615-s426,target_line_referee,canonical,4,72,64,1792,426,2615,1371013120,524288,16,2048,40,1,L,fsl-x225-schedule-a11-target-s425-430-20260716-1136-retry1-u5-dep4-md1792-it2615-s426,5,5,roihu_target_line_measured_oracle_x225,4,1371013120,524288,"Held-out sealed x225 target-budget-line referee row; not used for estimator fitting, support selection, routing, aggregation, or calibration.",controlled_model_dim_target_line,212861600,212861600,0.0,,1.305337,46.63894261255441,-4.515608578259389e-05,1371060548.8684888,5,2615.090463387468,target_line_oracle,52,2,400,1371013120,actual_training_tokens,A11_self_similar,target_referee,5,2615,0.015296367112810707,0.15296367112810708,0.65,0.05
fsl_x225_schedule_a11_target_s425_430_20260716_1136_retry1_u6_dep4-md1920-it2386-s426,target_line_referee,canonical,4,72,64,1920,426,2386,1250951168,524288,16,2048,36,1,L,fsl-x225-schedule-a11-target-s425-430-20260716-1136-retry1-u6-dep4-md1920-it2386-s426,6,6,roihu_target_line_measured_oracle_x225,4,1250951168,524288,"Held-out sealed x225 target-budget-line referee row; not used for estimator fitting, support selection, routing, aggregation, or calibration.",controlled_model_dim_target_line,239862480,239862480,0.0,,1.305337,46.63894261255441,-0.00025020572180523004,1251190972.080594,6,2386.457389985264,target_line_oracle,52,2,365,1250951168,actual_training_tokens,A11_self_similar,target_referee,5,2615,0.015296367112810707,0.15296367112810708,0.65,0.05
fsl_x225_schedule_a11_target_s425_430_20260716_1136_retry1_u7_dep4-md2048-it2189-s426,target_line_referee,canonical,4,72,64,2048,426,2189,1147666432,524288,16,2048,33,1,L,fsl-x225-schedule-a11-target-s425-430-20260716-1136-retry1-u7-dep4-md2048-it2189-s426,7,7,roihu_target_line_measured_oracle_x225,4,1147666432,524288,"Held-out sealed x225 target-budget-line referee row; not used for estimator fitting, support selection, routing, aggregation, or calibration.",controlled_model_dim_target_line,268436224,268436224,0.0,,1.305337,46.63894261255441,-0.0001880707759127631,1147831797.7762072,7,2189.315410187163,target_line_oracle,52,2,335,1147666432,actual_training_tokens,A11_self_similar,target_referee,5,2615,0.015296367112810707,0.15296367112810708,0.65,0.05
fsl_x225_schedule_a11_target_s425_430_20260716_1136_retry1_u8_dep4-md2176-it2018-s426,target_line_referee,canonical,4,72,64,2176,426,2018,1058013184,524288,16,2048,31,1,L,fsl-x225-schedule-a11-target-s425-430-20260716-1136-retry1-u8-dep4-md2176-it2018-s426,8,8,roihu_target_line_measured_oracle_x225,4,1058013184,524288,"Held-out sealed x225 target-budget-line referee row; not used for estimator fitting, support selection, routing, aggregation, or calibration.",controlled_model_dim_target_line,298582832,298582832,0.0,,1.305337,46.63894261255441,7.259302036288773e-05,1057954346.9050502,8,2017.8877771473888,target_line_oracle,52,2,309,1058013184,actual_training_tokens,A11_self_similar,target_referee,5,2615,0.015296367112810707,0.15296367112810708,0.65,0.05
fsl_x225_schedule_a11_target_s425_430_20260716_1136_retry1_u9_dep4-md2304-it1868-s426,target_line_referee,canonical,4,72,64,2304,426,1868,979369984,524288,16,2048,29,1,L,fsl-x225-schedule-a11-target-s425-430-20260716-1136-retry1-u9-dep4-md2304-it1868-s426,9,9,roihu_target_line_measured_oracle_x225,4,979369984,524288,"Held-out sealed x225 target-budget-line referee row; not used for estimator fitting, support selection, routing, aggregation, or calibration.",controlled_model_dim_target_line,330302304,330302304,0.0,,1.305337,46.63894261255441,0.00021113331898447996,979211587.4224199,9,1867.6978825043104,target_line_oracle,52,2,286,979369984,actual_training_tokens,A11_self_similar,target_referee,5,2615,0.015296367112810707,0.15296367112810708,0.65,0.05
fsl_x225_schedule_a11_target_s425_430_20260716_1136_retry1_u10_dep4-md2432-it1735-s426,target_line_referee,canonical,4,72,64,2432,426,1735,909639680,524288,16,2048,27,1,L,fsl-x225-schedule-a11-target-s425-430-20260716-1136-retry1-u10-dep4-md2432-it1735-s426,10,10,roihu_target_line_measured_oracle_x225,4,909639680,524288,"Held-out sealed x225 target-budget-line referee row; not used for estimator fitting, support selection, routing, aggregation, or calibration.",controlled_model_dim_target_line,363594640,363594640,0.0,,1.305337,46.63894261255441,-0.00017095390416699274,909758819.0714436,10,1735.2272397450324,target_line_oracle,52,2,265,909639680,actual_training_tokens,A11_self_similar,target_referee,5,2615,0.015296367112810707,0.15296367112810708,0.65,0.05
fsl_x225_schedule_a11_target_s425_430_20260716_1136_retry1_u0_dep4-md1152-it4614-s427,target_line_referee,canonical,4,72,64,1152,427,4614,2419064832,524288,16,2048,71,1,L,fsl-x225-schedule-a11-target-s425-430-20260716-1136-retry1-u0-dep4-md1152-it4614-s427,0,0,roihu_target_line_measured_oracle_x225,4,2419064832,524288,"Held-out sealed x225 target-budget-line referee row; not used for estimator fitting, support selection, routing, aggregation, or calibration.",controlled_model_dim_target_line,101450160,101450160,0.0,,1.305337,46.63894261255441,9.1193338342066e-05,2418895837.409323,0,4613.67766839852,target_line_oracle,56,3,706,2419064832,actual_training_tokens,A11_self_similar,target_referee,5,2615,0.015296367112810707,0.15296367112810708,0.65,0.05
fsl_x225_schedule_a11_target_s425_430_20260716_1136_retry1_u1_dep4-md1280-it4042-s427,target_line_referee,canonical,4,72,64,1280,427,4042,2119172096,524288,16,2048,62,1,L,fsl-x225-schedule-a11-target-s425-430-20260716-1136-retry1-u1-dep4-md1280-it4042-s427,1,1,roihu_target_line_measured_oracle_x225,4,2119172096,524288,"Held-out sealed x225 target-budget-line referee row; not used for estimator fitting, support selection, routing, aggregation, or calibration.",controlled_model_dim_target_line,120586720,120586720,0.0,,1.305337,46.63894261255441,0.0001241275575267764,2118970588.535072,1,4041.6156550122682,target_line_oracle,56,3,618,2119172096,actual_training_tokens,A11_self_similar,target_referee,5,2615,0.015296367112810707,0.15296367112810708,0.65,0.05
fsl_x225_schedule_a11_target_s425_430_20260716_1136_retry1_u2_dep4-md1408-it3580-s427,target_line_referee,canonical,4,72,64,1408,427,3580,1876951040,524288,16,2048,55,1,L,fsl-x225-schedule-a11-target-s425-430-20260716-1136-retry1-u2-dep4-md1408-it3580-s427,2,2,roihu_target_line_measured_oracle_x225,4,1876951040,524288,"Held-out sealed x225 target-budget-line referee row; not used for estimator fitting, support selection, routing, aggregation, or calibration.",controlled_model_dim_target_line,141296144,141296144,0.0,,1.305337,46.63894261255441,0.00017531305679341358,1876698973.3471074,2,3579.5192210142277,target_line_oracle,56,3,548,1876951040,actual_training_tokens,A11_self_similar,target_referee,5,2615,0.015296367112810707,0.15296367112810708,0.65,0.05
fsl_x225_schedule_a11_target_s425_430_20260716_1136_retry1_u3_dep4-md1536-it3200-s427,target_line_referee,canonical,4,72,64,1536,427,3200,1677721600,524288,16,2048,49,1,L,fsl-x225-schedule-a11-target-s425-430-20260716-1136-retry1-u3-dep4-md1536-it3200-s427,3,3,roihu_target_line_measured_oracle_x225,4,1677721600,524288,"Held-out sealed x225 target-budget-line referee row; not used for estimator fitting, support selection, routing, aggregation, or calibration.",controlled_model_dim_target_line,163578432,163578432,0.0,,1.305337,46.63894261255441,0.00013543174784302892,1677547541.5139904,3,3199.66800978468,target_line_oracle,56,3,489,1677721600,actual_training_tokens,A11_self_similar,target_referee,5,2615,0.015296367112810707,0.15296367112810708,0.65,0.05
fsl_x225_schedule_a11_target_s425_430_20260716_1136_retry1_u4_dep4-md1664-it2883-s427,target_line_referee,canonical,4,72,64,1664,427,2883,1511522304,524288,16,2048,44,1,L,fsl-x225-schedule-a11-target-s425-430-20260716-1136-retry1-u4-dep4-md1664-it2883-s427,4,4,roihu_target_line_measured_oracle_x225,4,1511522304,524288,"Held-out sealed x225 target-budget-line referee row; not used for estimator fitting, support selection, routing, aggregation, or calibration.",controlled_model_dim_target_line,187433584,187433584,0.0,,1.305337,46.63894261255441,9.545291960222357e-05,1511411777.7972884,4,2882.789187998368,target_line_oracle,56,3,441,1511522304,actual_training_tokens,A11_self_similar,target_referee,5,2615,0.015296367112810707,0.15296367112810708,0.65,0.05
fsl_x225_schedule_a11_target_s425_430_20260716_1136_retry1_u5_dep4-md1792-it2615-s427,target_line_referee,canonical,4,72,64,1792,427,2615,1371013120,524288,16,2048,40,1,L,fsl-x225-schedule-a11-target-s425-430-20260716-1136-retry1-u5-dep4-md1792-it2615-s427,5,5,roihu_target_line_measured_oracle_x225,4,1371013120,524288,"Held-out sealed x225 target-budget-line referee row; not used for estimator fitting, support selection, routing, aggregation, or calibration.",controlled_model_dim_target_line,212861600,212861600,0.0,,1.305337,46.63894261255441,-4.515608578259389e-05,1371060548.8684888,5,2615.090463387468,target_line_oracle,56,3,400,1371013120,actual_training_tokens,A11_self_similar,target_referee,5,2615,0.015296367112810707,0.15296367112810708,0.65,0.05
fsl_x225_schedule_a11_target_s425_430_20260716_1136_retry1_u6_dep4-md1920-it2386-s427,target_line_referee,canonical,4,72,64,1920,427,2386,1250951168,524288,16,2048,36,1,L,fsl-x225-schedule-a11-target-s425-430-20260716-1136-retry1-u6-dep4-md1920-it2386-s427,6,6,roihu_target_line_measured_oracle_x225,4,1250951168,524288,"Held-out sealed x225 target-budget-line referee row; not used for estimator fitting, support selection, routing, aggregation, or calibration.",controlled_model_dim_target_line,239862480,239862480,0.0,,1.305337,46.63894261255441,-0.00025020572180523004,1251190972.080594,6,2386.457389985264,target_line_oracle,56,3,365,1250951168,actual_training_tokens,A11_self_similar,target_referee,5,2615,0.015296367112810707,0.15296367112810708,0.65,0.05
fsl_x225_schedule_a11_target_s425_430_20260716_1136_retry1_u7_dep4-md2048-it2189-s427,target_line_referee,canonical,4,72,64,2048,427,2189,1147666432,524288,16,2048,33,1,L,fsl-x225-schedule-a11-target-s425-430-20260716-1136-retry1-u7-dep4-md2048-it2189-s427,7,7,roihu_target_line_measured_oracle_x225,4,1147666432,524288,"Held-out sealed x225 target-budget-line referee row; not used for estimator fitting, support selection, routing, aggregation, or calibration.",controlled_model_dim_target_line,268436224,268436224,0.0,,1.305337,46.63894261255441,-0.0001880707759127631,1147831797.7762072,7,2189.315410187163,target_line_oracle,56,3,335,1147666432,actual_training_tokens,A11_self_similar,target_referee,5,2615,0.015296367112810707,0.15296367112810708,0.65,0.05
fsl_x225_schedule_a11_target_s425_430_20260716_1136_retry1_u8_dep4-md2176-it2018-s427,target_line_referee,canonical,4,72,64,2176,427,2018,1058013184,524288,16,2048,31,1,L,fsl-x225-schedule-a11-target-s425-430-20260716-1136-retry1-u8-dep4-md2176-it2018-s427,8,8,roihu_target_line_measured_oracle_x225,4,1058013184,524288,"Held-out sealed x225 target-budget-line referee row; not used for estimator fitting, support selection, routing, aggregation, or calibration.",controlled_model_dim_target_line,298582832,298582832,0.0,,1.305337,46.63894261255441,7.259302036288773e-05,1057954346.9050502,8,2017.8877771473888,target_line_oracle,56,3,309,1058013184,actual_training_tokens,A11_self_similar,target_referee,5,2615,0.015296367112810707,0.15296367112810708,0.65,0.05
fsl_x225_schedule_a11_target_s425_430_20260716_1136_retry1_u9_dep4-md2304-it1868-s427,target_line_referee,canonical,4,72,64,2304,427,1868,979369984,524288,16,2048,29,1,L,fsl-x225-schedule-a11-target-s425-430-20260716-1136-retry1-u9-dep4-md2304-it1868-s427,9,9,roihu_target_line_measured_oracle_x225,4,979369984,524288,"Held-out sealed x225 target-budget-line referee row; not used for estimator fitting, support selection, routing, aggregation, or calibration.",controlled_model_dim_target_line,330302304,330302304,0.0,,1.305337,46.63894261255441,0.00021113331898447996,979211587.4224199,9,1867.6978825043104,target_line_oracle,56,3,286,979369984,actual_training_tokens,A11_self_similar,target_referee,5,2615,0.015296367112810707,0.15296367112810708,0.65,0.05
fsl_x225_schedule_a11_target_s425_430_20260716_1136_retry1_u10_dep4-md2432-it1735-s427,target_line_referee,canonical,4,72,64,2432,427,1735,909639680,524288,16,2048,27,1,L,fsl-x225-schedule-a11-target-s425-430-20260716-1136-retry1-u10-dep4-md2432-it1735-s427,10,10,roihu_target_line_measured_oracle_x225,4,909639680,524288,"Held-out sealed x225 target-budget-line referee row; not used for estimator fitting, support selection, routing, aggregation, or calibration.",controlled_model_dim_target_line,363594640,363594640,0.0,,1.305337,46.63894261255441,-0.00017095390416699274,909758819.0714436,10,1735.2272397450324,target_line_oracle,56,3,265,909639680,actual_training_tokens,A11_self_similar,target_referee,5,2615,0.015296367112810707,0.15296367112810708,0.65,0.05
fsl_x225_schedule_a11_target_s425_430_20260716_1136_retry1_u0_dep4-md1152-it4614-s428,target_line_referee,canonical,4,72,64,1152,428,4614,2419064832,524288,16,2048,71,1,L,fsl-x225-schedule-a11-target-s425-430-20260716-1136-retry1-u0-dep4-md1152-it4614-s428,0,0,roihu_target_line_measured_oracle_x225,4,2419064832,524288,"Held-out sealed x225 target-budget-line referee row; not used for estimator fitting, support selection, routing, aggregation, or calibration.",controlled_model_dim_target_line,101450160,101450160,0.0,,1.305337,46.63894261255441,9.1193338342066e-05,2418895837.409323,0,4613.67766839852,target_line_oracle,60,4,706,2419064832,actual_training_tokens,A11_self_similar,target_referee,5,2615,0.015296367112810707,0.15296367112810708,0.65,0.05
fsl_x225_schedule_a11_target_s425_430_20260716_1136_retry1_u1_dep4-md1280-it4042-s428,target_line_referee,canonical,4,72,64,1280,428,4042,2119172096,524288,16,2048,62,1,L,fsl-x225-schedule-a11-target-s425-430-20260716-1136-retry1-u1-dep4-md1280-it4042-s428,1,1,roihu_target_line_measured_oracle_x225,4,2119172096,524288,"Held-out sealed x225 target-budget-line referee row; not used for estimator fitting, support selection, routing, aggregation, or calibration.",controlled_model_dim_target_line,120586720,120586720,0.0,,1.305337,46.63894261255441,0.0001241275575267764,2118970588.535072,1,4041.6156550122682,target_line_oracle,60,4,618,2119172096,actual_training_tokens,A11_self_similar,target_referee,5,2615,0.015296367112810707,0.15296367112810708,0.65,0.05
fsl_x225_schedule_a11_target_s425_430_20260716_1136_retry1_u2_dep4-md1408-it3580-s428,target_line_referee,canonical,4,72,64,1408,428,3580,1876951040,524288,16,2048,55,1,L,fsl-x225-schedule-a11-target-s425-430-20260716-1136-retry1-u2-dep4-md1408-it3580-s428,2,2,roihu_target_line_measured_oracle_x225,4,1876951040,524288,"Held-out sealed x225 target-budget-line referee row; not used for estimator fitting, support selection, routing, aggregation, or calibration.",controlled_model_dim_target_line,141296144,141296144,0.0,,1.305337,46.63894261255441,0.00017531305679341358,1876698973.3471074,2,3579.5192210142277,target_line_oracle,60,4,548,1876951040,actual_training_tokens,A11_self_similar,target_referee,5,2615,0.015296367112810707,0.15296367112810708,0.65,0.05
