stage,split,recipe_band,depth,aspect_ratio,head_dim,model_dim,seed,num_iterations,target_tokens,total_batch_size,device_batch_size,max_seq_len,warmup_steps,fp8,window_pattern,model_tag,n_index,d_index,planned_family,planned_model_depth,planned_data_tokens,planned_total_batch_size,planned_note,sizing_family,target_n_scaling,preflight_n_scaling,target_n_scaling_rel_error,n_geometric_rel_error,target_budget_b,target_budget_c,target_budget_line_residual,target_d_actual,target_line_index,target_num_iterations_float,verification_role
fsl_x225_multisupport_sealed_target_s363_365_20260716_0215_u10_dep4-md2432-it1735-s363,target_line_referee,canonical,4,72,64,2432,363,1735,909639680,524288,16,2048,40,1,L,fsl-x225-multisupport-sealed-target-s363-365-20260716-0215-u10-dep4-md2432-it1735-s363,10,10,roihu_target_line_measured_oracle_x225,4,909639680,524288,"Held-out sealed x225 target-budget-line referee row; not used for estimator fitting, support selection, routing, aggregation, or calibration.",controlled_model_dim_target_line,363594640,363594640,0.0,,1.305337,46.63894261255441,-0.00017095390416699274,909758819.0714436,10,1735.2272397450324,target_line_oracle
fsl_x225_multisupport_sealed_target_s363_365_20260716_0215_u0_dep4-md1152-it4614-s364,target_line_referee,canonical,4,72,64,1152,364,4614,2419064832,524288,16,2048,40,1,L,fsl-x225-multisupport-sealed-target-s363-365-20260716-0215-u0-dep4-md1152-it4614-s364,0,0,roihu_target_line_measured_oracle_x225,4,2419064832,524288,"Held-out sealed x225 target-budget-line referee row; not used for estimator fitting, support selection, routing, aggregation, or calibration.",controlled_model_dim_target_line,101450160,101450160,0.0,,1.305337,46.63894261255441,9.1193338342066e-05,2418895837.409323,0,4613.67766839852,target_line_oracle
fsl_x225_multisupport_sealed_target_s363_365_20260716_0215_u1_dep4-md1280-it4042-s364,target_line_referee,canonical,4,72,64,1280,364,4042,2119172096,524288,16,2048,40,1,L,fsl-x225-multisupport-sealed-target-s363-365-20260716-0215-u1-dep4-md1280-it4042-s364,1,1,roihu_target_line_measured_oracle_x225,4,2119172096,524288,"Held-out sealed x225 target-budget-line referee row; not used for estimator fitting, support selection, routing, aggregation, or calibration.",controlled_model_dim_target_line,120586720,120586720,0.0,,1.305337,46.63894261255441,0.0001241275575267764,2118970588.535072,1,4041.6156550122682,target_line_oracle
fsl_x225_multisupport_sealed_target_s363_365_20260716_0215_u2_dep4-md1408-it3580-s364,target_line_referee,canonical,4,72,64,1408,364,3580,1876951040,524288,16,2048,40,1,L,fsl-x225-multisupport-sealed-target-s363-365-20260716-0215-u2-dep4-md1408-it3580-s364,2,2,roihu_target_line_measured_oracle_x225,4,1876951040,524288,"Held-out sealed x225 target-budget-line referee row; not used for estimator fitting, support selection, routing, aggregation, or calibration.",controlled_model_dim_target_line,141296144,141296144,0.0,,1.305337,46.63894261255441,0.00017531305679341358,1876698973.3471074,2,3579.5192210142277,target_line_oracle
fsl_x225_multisupport_sealed_target_s363_365_20260716_0215_u3_dep4-md1536-it3200-s364,target_line_referee,canonical,4,72,64,1536,364,3200,1677721600,524288,16,2048,40,1,L,fsl-x225-multisupport-sealed-target-s363-365-20260716-0215-u3-dep4-md1536-it3200-s364,3,3,roihu_target_line_measured_oracle_x225,4,1677721600,524288,"Held-out sealed x225 target-budget-line referee row; not used for estimator fitting, support selection, routing, aggregation, or calibration.",controlled_model_dim_target_line,163578432,163578432,0.0,,1.305337,46.63894261255441,0.00013543174784302892,1677547541.5139904,3,3199.66800978468,target_line_oracle
fsl_x225_multisupport_sealed_target_s363_365_20260716_0215_u4_dep4-md1664-it2883-s364,target_line_referee,canonical,4,72,64,1664,364,2883,1511522304,524288,16,2048,40,1,L,fsl-x225-multisupport-sealed-target-s363-365-20260716-0215-u4-dep4-md1664-it2883-s364,4,4,roihu_target_line_measured_oracle_x225,4,1511522304,524288,"Held-out sealed x225 target-budget-line referee row; not used for estimator fitting, support selection, routing, aggregation, or calibration.",controlled_model_dim_target_line,187433584,187433584,0.0,,1.305337,46.63894261255441,9.545291960222357e-05,1511411777.7972884,4,2882.789187998368,target_line_oracle
fsl_x225_multisupport_sealed_target_s363_365_20260716_0215_u5_dep4-md1792-it2615-s364,target_line_referee,canonical,4,72,64,1792,364,2615,1371013120,524288,16,2048,40,1,L,fsl-x225-multisupport-sealed-target-s363-365-20260716-0215-u5-dep4-md1792-it2615-s364,5,5,roihu_target_line_measured_oracle_x225,4,1371013120,524288,"Held-out sealed x225 target-budget-line referee row; not used for estimator fitting, support selection, routing, aggregation, or calibration.",controlled_model_dim_target_line,212861600,212861600,0.0,,1.305337,46.63894261255441,-4.515608578259389e-05,1371060548.8684888,5,2615.090463387468,target_line_oracle
fsl_x225_multisupport_sealed_target_s363_365_20260716_0215_u6_dep4-md1920-it2386-s364,target_line_referee,canonical,4,72,64,1920,364,2386,1250951168,524288,16,2048,40,1,L,fsl-x225-multisupport-sealed-target-s363-365-20260716-0215-u6-dep4-md1920-it2386-s364,6,6,roihu_target_line_measured_oracle_x225,4,1250951168,524288,"Held-out sealed x225 target-budget-line referee row; not used for estimator fitting, support selection, routing, aggregation, or calibration.",controlled_model_dim_target_line,239862480,239862480,0.0,,1.305337,46.63894261255441,-0.00025020572180523004,1251190972.080594,6,2386.457389985264,target_line_oracle
fsl_x225_multisupport_sealed_target_s363_365_20260716_0215_u7_dep4-md2048-it2189-s364,target_line_referee,canonical,4,72,64,2048,364,2189,1147666432,524288,16,2048,40,1,L,fsl-x225-multisupport-sealed-target-s363-365-20260716-0215-u7-dep4-md2048-it2189-s364,7,7,roihu_target_line_measured_oracle_x225,4,1147666432,524288,"Held-out sealed x225 target-budget-line referee row; not used for estimator fitting, support selection, routing, aggregation, or calibration.",controlled_model_dim_target_line,268436224,268436224,0.0,,1.305337,46.63894261255441,-0.0001880707759127631,1147831797.7762072,7,2189.315410187163,target_line_oracle
fsl_x225_multisupport_sealed_target_s363_365_20260716_0215_u8_dep4-md2176-it2018-s364,target_line_referee,canonical,4,72,64,2176,364,2018,1058013184,524288,16,2048,40,1,L,fsl-x225-multisupport-sealed-target-s363-365-20260716-0215-u8-dep4-md2176-it2018-s364,8,8,roihu_target_line_measured_oracle_x225,4,1058013184,524288,"Held-out sealed x225 target-budget-line referee row; not used for estimator fitting, support selection, routing, aggregation, or calibration.",controlled_model_dim_target_line,298582832,298582832,0.0,,1.305337,46.63894261255441,7.259302036288773e-05,1057954346.9050502,8,2017.8877771473888,target_line_oracle
fsl_x225_multisupport_sealed_target_s363_365_20260716_0215_u9_dep4-md2304-it1868-s364,target_line_referee,canonical,4,72,64,2304,364,1868,979369984,524288,16,2048,40,1,L,fsl-x225-multisupport-sealed-target-s363-365-20260716-0215-u9-dep4-md2304-it1868-s364,9,9,roihu_target_line_measured_oracle_x225,4,979369984,524288,"Held-out sealed x225 target-budget-line referee row; not used for estimator fitting, support selection, routing, aggregation, or calibration.",controlled_model_dim_target_line,330302304,330302304,0.0,,1.305337,46.63894261255441,0.00021113331898447996,979211587.4224199,9,1867.6978825043104,target_line_oracle
fsl_x225_multisupport_sealed_target_s363_365_20260716_0215_u10_dep4-md2432-it1735-s364,target_line_referee,canonical,4,72,64,2432,364,1735,909639680,524288,16,2048,40,1,L,fsl-x225-multisupport-sealed-target-s363-365-20260716-0215-u10-dep4-md2432-it1735-s364,10,10,roihu_target_line_measured_oracle_x225,4,909639680,524288,"Held-out sealed x225 target-budget-line referee row; not used for estimator fitting, support selection, routing, aggregation, or calibration.",controlled_model_dim_target_line,363594640,363594640,0.0,,1.305337,46.63894261255441,-0.00017095390416699274,909758819.0714436,10,1735.2272397450324,target_line_oracle
fsl_x225_multisupport_sealed_target_s363_365_20260716_0215_u0_dep4-md1152-it4614-s365,target_line_referee,canonical,4,72,64,1152,365,4614,2419064832,524288,16,2048,40,1,L,fsl-x225-multisupport-sealed-target-s363-365-20260716-0215-u0-dep4-md1152-it4614-s365,0,0,roihu_target_line_measured_oracle_x225,4,2419064832,524288,"Held-out sealed x225 target-budget-line referee row; not used for estimator fitting, support selection, routing, aggregation, or calibration.",controlled_model_dim_target_line,101450160,101450160,0.0,,1.305337,46.63894261255441,9.1193338342066e-05,2418895837.409323,0,4613.67766839852,target_line_oracle
fsl_x225_multisupport_sealed_target_s363_365_20260716_0215_u1_dep4-md1280-it4042-s365,target_line_referee,canonical,4,72,64,1280,365,4042,2119172096,524288,16,2048,40,1,L,fsl-x225-multisupport-sealed-target-s363-365-20260716-0215-u1-dep4-md1280-it4042-s365,1,1,roihu_target_line_measured_oracle_x225,4,2119172096,524288,"Held-out sealed x225 target-budget-line referee row; not used for estimator fitting, support selection, routing, aggregation, or calibration.",controlled_model_dim_target_line,120586720,120586720,0.0,,1.305337,46.63894261255441,0.0001241275575267764,2118970588.535072,1,4041.6156550122682,target_line_oracle
fsl_x225_multisupport_sealed_target_s363_365_20260716_0215_u2_dep4-md1408-it3580-s365,target_line_referee,canonical,4,72,64,1408,365,3580,1876951040,524288,16,2048,40,1,L,fsl-x225-multisupport-sealed-target-s363-365-20260716-0215-u2-dep4-md1408-it3580-s365,2,2,roihu_target_line_measured_oracle_x225,4,1876951040,524288,"Held-out sealed x225 target-budget-line referee row; not used for estimator fitting, support selection, routing, aggregation, or calibration.",controlled_model_dim_target_line,141296144,141296144,0.0,,1.305337,46.63894261255441,0.00017531305679341358,1876698973.3471074,2,3579.5192210142277,target_line_oracle
fsl_x225_multisupport_sealed_target_s363_365_20260716_0215_u3_dep4-md1536-it3200-s365,target_line_referee,canonical,4,72,64,1536,365,3200,1677721600,524288,16,2048,40,1,L,fsl-x225-multisupport-sealed-target-s363-365-20260716-0215-u3-dep4-md1536-it3200-s365,3,3,roihu_target_line_measured_oracle_x225,4,1677721600,524288,"Held-out sealed x225 target-budget-line referee row; not used for estimator fitting, support selection, routing, aggregation, or calibration.",controlled_model_dim_target_line,163578432,163578432,0.0,,1.305337,46.63894261255441,0.00013543174784302892,1677547541.5139904,3,3199.66800978468,target_line_oracle
fsl_x225_multisupport_sealed_target_s363_365_20260716_0215_u4_dep4-md1664-it2883-s365,target_line_referee,canonical,4,72,64,1664,365,2883,1511522304,524288,16,2048,40,1,L,fsl-x225-multisupport-sealed-target-s363-365-20260716-0215-u4-dep4-md1664-it2883-s365,4,4,roihu_target_line_measured_oracle_x225,4,1511522304,524288,"Held-out sealed x225 target-budget-line referee row; not used for estimator fitting, support selection, routing, aggregation, or calibration.",controlled_model_dim_target_line,187433584,187433584,0.0,,1.305337,46.63894261255441,9.545291960222357e-05,1511411777.7972884,4,2882.789187998368,target_line_oracle
fsl_x225_multisupport_sealed_target_s363_365_20260716_0215_u5_dep4-md1792-it2615-s365,target_line_referee,canonical,4,72,64,1792,365,2615,1371013120,524288,16,2048,40,1,L,fsl-x225-multisupport-sealed-target-s363-365-20260716-0215-u5-dep4-md1792-it2615-s365,5,5,roihu_target_line_measured_oracle_x225,4,1371013120,524288,"Held-out sealed x225 target-budget-line referee row; not used for estimator fitting, support selection, routing, aggregation, or calibration.",controlled_model_dim_target_line,212861600,212861600,0.0,,1.305337,46.63894261255441,-4.515608578259389e-05,1371060548.8684888,5,2615.090463387468,target_line_oracle
fsl_x225_multisupport_sealed_target_s363_365_20260716_0215_u6_dep4-md1920-it2386-s365,target_line_referee,canonical,4,72,64,1920,365,2386,1250951168,524288,16,2048,40,1,L,fsl-x225-multisupport-sealed-target-s363-365-20260716-0215-u6-dep4-md1920-it2386-s365,6,6,roihu_target_line_measured_oracle_x225,4,1250951168,524288,"Held-out sealed x225 target-budget-line referee row; not used for estimator fitting, support selection, routing, aggregation, or calibration.",controlled_model_dim_target_line,239862480,239862480,0.0,,1.305337,46.63894261255441,-0.00025020572180523004,1251190972.080594,6,2386.457389985264,target_line_oracle
fsl_x225_multisupport_sealed_target_s363_365_20260716_0215_u7_dep4-md2048-it2189-s365,target_line_referee,canonical,4,72,64,2048,365,2189,1147666432,524288,16,2048,40,1,L,fsl-x225-multisupport-sealed-target-s363-365-20260716-0215-u7-dep4-md2048-it2189-s365,7,7,roihu_target_line_measured_oracle_x225,4,1147666432,524288,"Held-out sealed x225 target-budget-line referee row; not used for estimator fitting, support selection, routing, aggregation, or calibration.",controlled_model_dim_target_line,268436224,268436224,0.0,,1.305337,46.63894261255441,-0.0001880707759127631,1147831797.7762072,7,2189.315410187163,target_line_oracle
fsl_x225_multisupport_sealed_target_s363_365_20260716_0215_u8_dep4-md2176-it2018-s365,target_line_referee,canonical,4,72,64,2176,365,2018,1058013184,524288,16,2048,40,1,L,fsl-x225-multisupport-sealed-target-s363-365-20260716-0215-u8-dep4-md2176-it2018-s365,8,8,roihu_target_line_measured_oracle_x225,4,1058013184,524288,"Held-out sealed x225 target-budget-line referee row; not used for estimator fitting, support selection, routing, aggregation, or calibration.",controlled_model_dim_target_line,298582832,298582832,0.0,,1.305337,46.63894261255441,7.259302036288773e-05,1057954346.9050502,8,2017.8877771473888,target_line_oracle
fsl_x225_multisupport_sealed_target_s363_365_20260716_0215_u9_dep4-md2304-it1868-s365,target_line_referee,canonical,4,72,64,2304,365,1868,979369984,524288,16,2048,40,1,L,fsl-x225-multisupport-sealed-target-s363-365-20260716-0215-u9-dep4-md2304-it1868-s365,9,9,roihu_target_line_measured_oracle_x225,4,979369984,524288,"Held-out sealed x225 target-budget-line referee row; not used for estimator fitting, support selection, routing, aggregation, or calibration.",controlled_model_dim_target_line,330302304,330302304,0.0,,1.305337,46.63894261255441,0.00021113331898447996,979211587.4224199,9,1867.6978825043104,target_line_oracle
fsl_x225_multisupport_sealed_target_s363_365_20260716_0215_u10_dep4-md2432-it1735-s365,target_line_referee,canonical,4,72,64,2432,365,1735,909639680,524288,16,2048,40,1,L,fsl-x225-multisupport-sealed-target-s363-365-20260716-0215-u10-dep4-md2432-it1735-s365,10,10,roihu_target_line_measured_oracle_x225,4,909639680,524288,"Held-out sealed x225 target-budget-line referee row; not used for estimator fitting, support selection, routing, aggregation, or calibration.",controlled_model_dim_target_line,363594640,363594640,0.0,,1.305337,46.63894261255441,-0.00017095390416699274,909758819.0714436,10,1735.2272397450324,target_line_oracle
