stage,split,recipe_band,depth,aspect_ratio,head_dim,model_dim,seed,num_iterations,target_tokens,total_batch_size,device_batch_size,max_seq_len,warmup_steps,fp8,window_pattern,model_tag,n_index,d_index,planned_family,planned_model_depth,planned_data_tokens,planned_total_batch_size,planned_note,sizing_family,target_n_scaling,preflight_n_scaling,target_n_scaling_rel_error,n_geometric_rel_error,source_target_line_index,target_budget_b,target_budget_c,target_budget_c_base,target_budget_c_offset,target_budget_line_residual,target_d_actual,target_line_index,target_neighborhood_offset_index,target_num_iterations_float,verification_role
x30_righttail_model_mismatch_o0_u0_dep4_md1280_it713_s72,target_neighborhood_referee,canonical,4,72,64,1280,72,713,373817344,524288,16,2048,40,1,L,x30-righttail-model-mismatch-o0-u0-dep4-md1280-it713-s72,0,0,roihu_target_neighborhood_measured_oracle,4,373817344,524288,Measured target-neighborhood budget-line row for 2D Roihu oracle fit auditing; not used for estimator fitting unless explicitly charged.,controlled_model_dim_target_neighborhood,120586720,120586720,0.0,,6,1.305337,44.37403959201215,44.62403959201215,-0.25,0.0002498603560496804,373745796.808751,6,0,712.8635345625896,target_neighborhood_oracle
x30_righttail_model_mismatch_o0_u1_dep4_md1408_it631_s72,target_neighborhood_referee,canonical,4,72,64,1408,72,631,330825728,524288,16,2048,40,1,L,x30-righttail-model-mismatch-o0-u1-dep4-md1408-it631-s72,1,0,roihu_target_neighborhood_measured_oracle,4,330825728,524288,Measured target-neighborhood budget-line row for 2D Roihu oracle fit auditing; not used for estimator fitting unless explicitly charged.,controlled_model_dim_target_neighborhood,141296144,141296144,0.0,,7,1.305337,44.37403959201215,44.62403959201215,-0.25,-0.0007415781118922382,331013727.589628,7,0,631.3585807602462,target_neighborhood_oracle
x30_righttail_model_mismatch_o0_u2_dep4_md1536_it564_s72,target_neighborhood_referee,canonical,4,72,64,1536,72,564,295698432,524288,16,2048,40,1,L,x30-righttail-model-mismatch-o0-u2-dep4-md1536-it564-s72,2,0,roihu_target_neighborhood_measured_oracle,4,295698432,524288,Measured target-neighborhood budget-line row for 2D Roihu oracle fit auditing; not used for estimator fitting unless explicitly charged.,controlled_model_dim_target_neighborhood,163578432,163578432,0.0,,8,1.305337,44.37403959201215,44.62403959201215,-0.25,-0.0008331774422032368,295887232.2155086,8,0,564.360107832925,target_neighborhood_oracle
x30_righttail_model_mismatch_o0_u3_dep4_md1792_it461_s72,target_neighborhood_referee,canonical,4,72,64,1792,72,461,241696768,524288,16,2048,40,1,L,x30-righttail-model-mismatch-o0-u3-dep4-md1792-it461-s72,3,0,roihu_target_neighborhood_measured_oracle,4,241696768,524288,Measured target-neighborhood budget-line row for 2D Roihu oracle fit auditing; not used for estimator fitting unless explicitly charged.,controlled_model_dim_target_neighborhood,212861600,212861600,0.0,,9,1.305337,44.37403959201215,44.62403959201215,-0.25,-0.0007128801535145612,241828801.2502148,9,0,461.25183343928296,target_neighborhood_oracle
x30_righttail_model_mismatch_o0_u4_dep4_md2048_it386_s72,target_neighborhood_referee,canonical,4,72,64,2048,72,386,202375168,524288,16,2048,40,1,L,x30-righttail-model-mismatch-o0-u4-dep4-md2048-it386-s72,4,0,roihu_target_neighborhood_measured_oracle,4,202375168,524288,Measured target-neighborhood budget-line row for 2D Roihu oracle fit auditing; not used for estimator fitting unless explicitly charged.,controlled_model_dim_target_neighborhood,268436224,268436224,0.0,,10,1.305337,44.37403959201215,44.62403959201215,-0.25,-0.0005182275887420928,202455528.256706,10,0,386.15327502576065,target_neighborhood_oracle
x30_righttail_model_mismatch_o1_u0_dep4_md1280_it1024_s72,target_neighborhood_referee,canonical,4,72,64,1280,72,1024,536870912,524288,16,2048,40,1,L,x30-righttail-model-mismatch-o1-u0-dep4-md1280-it1024-s72,0,1,roihu_target_neighborhood_measured_oracle,4,536870912,524288,Measured target-neighborhood budget-line row for 2D Roihu oracle fit auditing; not used for estimator fitting unless explicitly charged.,controlled_model_dim_target_neighborhood,120586720,120586720,0.0,,6,1.305337,44.87403959201215,44.62403959201215,0.25,-0.027230696217507955,548188236.4027582,6,1,1045.5860832266965,target_neighborhood_oracle
x30_righttail_model_mismatch_o1_u1_dep4_md1408_it926_s72,target_neighborhood_referee,canonical,4,72,64,1408,72,926,485490688,524288,16,2048,40,1,L,x30-righttail-model-mismatch-o1-u1-dep4-md1408-it926-s72,1,1,roihu_target_neighborhood_measured_oracle,4,485490688,524288,Measured target-neighborhood budget-line row for 2D Roihu oracle fit auditing; not used for estimator fitting unless explicitly charged.,controlled_model_dim_target_neighborhood,141296144,141296144,0.0,,7,1.305337,44.87403959201215,44.62403959201215,0.25,-5.5589973513292534e-05,485511363.87846565,7,1,926.0394361085237,target_neighborhood_oracle
x30_righttail_model_mismatch_o1_u2_dep4_md1536_it828_s72,target_neighborhood_referee,canonical,4,72,64,1536,72,828,434110464,524288,16,2048,40,1,L,x30-righttail-model-mismatch-o1-u2-dep4-md1536-it828-s72,2,1,roihu_target_neighborhood_measured_oracle,4,434110464,524288,Measured target-neighborhood budget-line row for 2D Roihu oracle fit auditing; not used for estimator fitting unless explicitly charged.,controlled_model_dim_target_neighborhood,163578432,163578432,0.0,,8,1.305337,44.87403959201215,44.62403959201215,0.25,0.00036258497586061367,433989897.3775286,8,1,827.7700374174664,target_neighborhood_oracle
x30_righttail_model_mismatch_o1_u3_dep4_md1792_it677_s72,target_neighborhood_referee,canonical,4,72,64,1792,72,677,354942976,524288,16,2048,40,1,L,x30-righttail-model-mismatch-o1-u3-dep4-md1792-it677-s72,3,1,roihu_target_neighborhood_measured_oracle,4,354942976,524288,Measured target-neighborhood budget-line row for 2D Roihu oracle fit auditing; not used for estimator fitting unless explicitly charged.,controlled_model_dim_target_neighborhood,212861600,212861600,0.0,,9,1.305337,44.87403959201215,44.62403959201215,0.25,0.0008931849648519119,354700187.13436925,9,1,676.5369169890771,target_neighborhood_oracle
x30_righttail_model_mismatch_o1_u4_dep4_md2048_it566_s72,target_neighborhood_referee,canonical,4,72,64,2048,72,566,296747008,524288,16,2048,40,1,L,x30-righttail-model-mismatch-o1-u4-dep4-md2048-it566-s72,4,1,roihu_target_neighborhood_measured_oracle,4,296747008,524288,Measured target-neighborhood budget-line row for 2D Roihu oracle fit auditing; not used for estimator fitting unless explicitly charged.,controlled_model_dim_target_neighborhood,268436224,268436224,0.0,,10,1.305337,44.87403959201215,44.62403959201215,0.25,-0.0008917336743508031,296949798.31926626,10,1,566.3867918382001,target_neighborhood_oracle
